site,species,stand,stand_old,plot,treatment,tree,dbh_in,ht,hcb,velocity,tree_ba,cr,ba_plot,ba_all,ba_plot_PP,ba
FT,PIPO,8,11,3,60,4,16.4,57.8,30.5,3.508,1.46690784,0.472318339,94.7316168,75.1344858,92.2827708,65.9499498
FT,PIPO,8,11,3,60,2,17.2,60.9,31.3,3.606,1.61351136,0.486042693,94.7316168,75.1344858,92.2827708,65.9499498
FT,PIPO,8,11,3,60,8,17.2,65.3,23.8,3.611,1.61351136,0.635528331,94.7316168,75.1344858,92.2827708,65.9499498
FT,PIPO,8,11,3,60,1,19.7,65.3,34.2,3.699,2.11664286,0.4762634,94.7316168,75.1344858,92.2827708,65.9499498
FT,PIPO,8,11,3,60,3,17.3,68.6,27.2,3.861,1.63232766,0.603498542,94.7316168,75.1344858,92.2827708,65.9499498
FT,PIPO,10,7,1,150,12,6,NA,NA,2.589,0.196344,NA,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,14,8.8,NA,NA,3.126,0.42235776,NA,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,9,12.7,NA,NA,3.157,0.87967566,NA,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,25,9.4,NA,NA,3.486,0.48191544,NA,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,16,21.6,61.1,17,3.648,2.54461824,0.721767594,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,20,7.2,37.2,19.1,3.694,0.28273536,0.48655914,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,10,12.2,53,30.2,3.757,0.81177336,0.430188679,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,5,16.6,61.6,27.4,3.829,1.50290424,0.555194805,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,8,9.1,NA,NA,3.868,0.45164574,NA,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,13,9.4,44.2,18.1,3.903,0.48191544,0.590497738,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,3,8.3,NA,NA,4.013,0.37572606,NA,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,2,12,52.9,26.7,4.102,0.785376,0.495274102,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,19,8.2,42.2,21.7,4.123,0.36672696,0.485781991,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,1,150,17,13.3,NA,NA,4.459,0.96475806,NA,128.6440434,93.5420994,116.8094088,85.495995
FT,PIPO,10,7,2,150,15,6.2,25.8,10.5,2.071,0.20965176,0.593023256,73.1975886,93.5420994,60.89391,85.495995
FT,PIPO,10,7,2,150,7,7.3,28.5,15.5,2.749,0.29064366,0.456140351,73.1975886,93.5420994,60.89391,85.495995
FT,PIPO,10,7,2,150,1,11.5,43,25.1,2.773,0.7212915,0.41627907,73.1975886,93.5420994,60.89391,85.495995
FT,PIPO,10,7,2,150,16,5.8,30.4,15.9,3.208,0.18347256,0.476973684,73.1975886,93.5420994,60.89391,85.495995
FT,PIPO,10,7,2,150,24,13.5,45.3,8.4,3.625,0.9939915,0.814569536,73.1975886,93.5420994,60.89391,85.495995
